config_id,asset,lookback_years,stress_pctile,stress_tilt_fraction,persistence_days,max_lump_multiple,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg12_lb10_pc70_tf0.0_pd1,OIL,10,70,0.0,1,6.0,1.1829166522112693,0.2268502218216159,1.1798550873762443,0.22782375575083372,False,1.181147930039711,0.22532322141349814,1.1780850183556857,0.2262905906561879,False
cfg13_lb10_pc70_tf0.0_pd3,SP500,10,70,0.0,3,6.0,85.28239256529005,0.1530991177999507,85.27722344483453,0.1530965091120862,True,85.15434217614963,0.15233963045498147,85.14917987853534,0.15233705290993851,True
cfg13_lb10_pc70_tf0.0_pd3,GOLD,10,70,0.0,3,6.0,2.215843085385774,0.508353880896771,2.2312322553607693,0.5049170813430391,False,2.212521941908387,0.5053880825557259,2.227883543414292,0.5019039393179513,False
cfg13_lb10_pc70_tf0.0_pd3,SILVER,10,70,0.0,3,6.0,1.6815142766387514,0.31959233523534974,1.686659698183187,0.3196772758715409,False,1.6789954286699957,0.3178552205634893,1.6841286627489933,0.31790937005101605,False
cfg13_lb10_pc70_tf0.0_pd3,BTC,10,70,0.0,3,6.0,9.476845923099974,1.0574072936898395,9.855679074865842,1.0673092354078406,False,9.462643543998146,1.055343317881703,9.84088617851966,1.0652491717139174,False
cfg13_lb10_pc70_tf0.0_pd3,OIL,10,70,0.0,3,6.0,1.1846616838626085,0.22696764642981831,1.1798550873762443,0.22782375575083372,False,1.1828888549244114,0.22541913486089343,1.1780850183556857,0.2262905906561879,False
cfg14_lb10_pc70_tf0.25_pd1,SP500,10,70,0.25,1,6.0,85.28526321498941,0.15310132943029586,85.27722344483453,0.1530965091120862,True,85.15720851570131,0.15234184626702157,85.14917987853534,0.15233705290993851,True
cfg14_lb10_pc70_tf0.25_pd1,GOLD,10,70,0.25,1,6.0,2.2209060071867897,0.5086392229206601,2.2312322553607693,0.5049170813430391,False,2.2175772623760572,0.505703058090576,2.227883543414292,0.5019039393179513,False
cfg14_lb10_pc70_tf0.25_pd1,SILVER,10,70,0.25,1,6.0,1.685135964518906,0.31999801911622067,1.686659698183187,0.3196772758715409,False,1.6826116792317007,0.31828004071861854,1.6841286627489933,0.31790937005101605,False
cfg14_lb10_pc70_tf0.25_pd1,BTC,10,70,0.25,1,6.0,9.581307374516738,1.0601327231204365,9.855679074865842,1.0673092354078406,False,9.566963103041072,1.058070406696124,9.84088617851966,1.0652491717139174,False
cfg14_lb10_pc70_tf0.25_pd1,OIL,10,70,0.25,1,6.0,1.1831574269123568,0.22755304074850202,1.1798550873762443,0.22782375575083372,False,1.1813868572689237,0.22602347872523001,1.1780850183556857,0.2262905906561879,False
cfg15_lb10_pc70_tf0.25_pd3,SP500,10,70,0.25,3,6.0,85.28251554733205,0.15309949266660489,85.27722344483453,0.1530965091120862,True,85.1544647388838,0.15234001339909134,85.14917987853534,0.15233705290993851,True
cfg15_lb10_pc70_tf0.25_pd3,GOLD,10,70,0.25,3,6.0,2.220989014442444,0.5077333614531642,2.2312322553607693,0.5049170813430391,False,2.2176590289430345,0.504755782321634,2.227883543414292,0.5019039393179513,False
cfg15_lb10_pc70_tf0.25_pd3,SILVER,10,70,0.25,3,6.0,1.6854892984057612,0.3199995093617372,1.686659698183187,0.3196772758715409,False,1.6829633665340384,0.31825490374718746,1.6841286627489933,0.31790937005101605,False
cfg15_lb10_pc70_tf0.25_pd3,BTC,10,70,0.25,3,6.0,9.57688693864135,1.0600335689895535,9.855679074865842,1.0673092354078406,False,9.562528923129937,1.0579708530208622,9.84088617851966,1.0652491717139174,False
