config_id,asset,rv_lookback,elevated_pct,compressed_pct,buy_multiplier,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg14_rv60_ep80.0_cp10.0_bm3.0,GOLD,60,80.0,10.0,3.0,2.209613727403888,0.5029605514669044,2.2312322553607693,0.5049170813430391,False,2.2063135012559143,0.5001137178312883,2.227883543414292,0.5019039393179513,False
cfg14_rv60_ep80.0_cp10.0_bm3.0,SILVER,60,80.0,10.0,3.0,1.6627519019287338,0.3152815949060007,1.686659698183187,0.3196772758715409,False,1.660268418789582,0.313615200291185,1.6841286627489933,0.31790937005101605,False
cfg14_rv60_ep80.0_cp10.0_bm3.0,BTC,60,80.0,10.0,3.0,9.666352141379242,1.0790723890311629,9.855679074865842,1.0673092354078406,False,9.651843519707954,1.0771622940706174,9.84088617851966,1.0652491717139174,False
cfg14_rv60_ep80.0_cp10.0_bm3.0,OIL,60,80.0,10.0,3.0,1.1651213702565903,0.2218085720360937,1.1798550873762443,0.22782375575083372,False,1.1633761243207053,0.2203458403470699,1.1780850183556857,0.2262905906561879,False
cfg15_rv60_ep80.0_cp20.0_bm1.5,SP500,60,80.0,20.0,1.5,78.24028898625886,0.15609165233839845,85.27722344483453,0.1530965091120862,False,78.12502008770394,0.15534713526797483,85.14917987853534,0.15233705290993851,False
cfg15_rv60_ep80.0_cp20.0_bm1.5,GOLD,60,80.0,20.0,1.5,2.1248462281286993,0.4971255261911515,2.2312322553607693,0.5049170813430391,False,2.1217762480777598,0.4942082733773037,2.227883543414292,0.5019039393179513,False
cfg15_rv60_ep80.0_cp20.0_bm1.5,SILVER,60,80.0,20.0,1.5,1.6013743304079777,0.30267637607239,1.686659698183187,0.3196772758715409,False,1.5990762396114304,0.3009627459400855,1.6841286627489933,0.31790937005101605,False
cfg15_rv60_ep80.0_cp20.0_bm1.5,BTC,60,80.0,20.0,1.5,9.171444360022624,1.0651078907344333,9.855679074865842,1.0673092354078406,False,9.157786743972625,1.0631892639863514,9.84088617851966,1.0652491717139174,False
cfg15_rv60_ep80.0_cp20.0_bm1.5,OIL,60,80.0,20.0,1.5,1.147761384607761,0.209692241122684,1.1798550873762443,0.22782375575083372,False,1.1461187771118015,0.20817593580700075,1.1780850183556857,0.2262905906561879,False
cfg16_rv60_ep80.0_cp20.0_bm2.0,SP500,60,80.0,20.0,2.0,78.30318587746599,0.15614751515971723,85.27722344483453,0.1530965091120862,False,78.18776233136562,0.155403103929629,85.14917987853534,0.15233705290993851,False
cfg16_rv60_ep80.0_cp20.0_bm2.0,GOLD,60,80.0,20.0,2.0,2.1862990535835896,0.5000375093251632,2.2312322553607693,0.5049170813430391,False,2.183037433115062,0.49717674094026637,2.227883543414292,0.5019039393179513,False
