config_id,asset,strong_season_start_month,weak_season_start_month,mild_tilt_fraction,max_lump_multiple,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg10_ss10_ws5_mt0.5_ml6,GOLD,10,5,0.5,6,2.22185399215411,0.5076308937829556,2.2312322553607693,0.5049170813430391,False,2.218519361683924,0.5049786485775563,2.227883543414292,0.5019039393179513,False
cfg10_ss10_ws5_mt0.5_ml6,SILVER,10,5,0.5,6,1.6862554133991372,0.3218340028144301,1.686659698183187,0.3196772758715409,False,1.6837249849991593,0.3202736658079223,1.6841286627489933,0.31790937005101605,False
cfg10_ss10_ws5_mt0.5_ml6,BTC,10,5,0.5,6,9.823714228627972,1.0972532404916546,9.855679074865842,1.0673092354078406,False,9.8089693275464,1.0954311307200741,9.84088617851966,1.0652491717139174,False
cfg10_ss10_ws5_mt0.5_ml6,OIL,10,5,0.5,6,1.181750739161936,0.2340698550337247,1.1798550873762443,0.22782375575083372,True,1.1799778238173741,0.2327232022205181,1.1780850183556857,0.2262905906561879,True
cfg11_ss10_ws5_mt0.5_ml12,SP500,10,5,0.5,12,85.34110846345568,0.15424661500889342,85.27722344483453,0.1530965091120862,True,85.2129689737055,0.1534976968295063,85.14917987853534,0.15233705290993851,True
cfg11_ss10_ws5_mt0.5_ml12,GOLD,10,5,0.5,12,2.2220584005037276,0.5065486107750691,2.2312322553607693,0.5049170813430391,False,2.2187234631140966,0.5038943318533123,2.227883543414292,0.5019039393179513,False
cfg11_ss10_ws5_mt0.5_ml12,SILVER,10,5,0.5,12,1.686552776467317,0.32077729635932006,1.686659698183187,0.3196772758715409,False,1.6840219015762432,0.31921519244464286,1.6841286627489933,0.31790937005101605,False
cfg11_ss10_ws5_mt0.5_ml12,BTC,10,5,0.5,12,9.858683297711226,1.0987584126322076,9.855679074865842,1.0673092354078406,True,9.843885890519921,1.0969354671420115,9.84088617851966,1.0652491717139174,True
cfg11_ss10_ws5_mt0.5_ml12,OIL,10,5,0.5,12,1.1829922331598504,0.23443680127615787,1.1798550873762443,0.22782375575083372,True,1.1812174537101858,0.23308930731469213,1.1780850183556857,0.2262905906561879,True
cfg12_ss10_ws4_mt0.0_ml6,SP500,10,4,0.0,6,85.29469057416532,0.15505304305266435,85.27722344483453,0.1530965091120862,True,85.16662078094535,0.15432857347314496,85.14917987853534,0.15233705290993851,True
cfg12_ss10_ws4_mt0.0_ml6,GOLD,10,4,0.0,6,2.2059601727000686,0.5103902656117981,2.2312322553607693,0.5049170813430391,False,2.2026494068236575,0.5081188199857198,2.227883543414292,0.5019039393179513,False
cfg12_ss10_ws4_mt0.0_ml6,SILVER,10,4,0.0,6,1.689166559354725,0.3270616690105966,1.686659698183187,0.3196772758715409,True,1.6866317598647216,0.32572881677108634,1.6841286627489933,0.31790937005101605,True
cfg12_ss10_ws4_mt0.0_ml6,BTC,10,4,0.0,6,9.268265816275676,1.1056369455639712,9.855679074865842,1.0673092354078406,False,9.254354921819264,1.1040478412181405,9.84088617851966,1.0652491717139174,False
cfg12_ss10_ws4_mt0.0_ml6,OIL,10,4,0.0,6,1.189417552202338,0.24250781234804367,1.1798550873762443,0.22782375575083372,True,1.1876331251264831,0.24137564724293167,1.1780850183556857,0.2262905906561879,True
cfg13_ss10_ws4_mt0.0_ml12,SP500,10,4,0.0,12,85.32809979452817,0.1544225826400894,85.27722344483453,0.1530965091120862,True,85.19997983731372,0.15369601187155338,85.14917987853534,0.15233705290993851,True
