asset,rho,m_max,sweep,total_invested,final_wealth,wealth_over_invested,max_drawdown,longest_weeks_underwater,cagr,annualized_vol,sharpe,sortino,calmar,n_buys,n_sells,total_fees,avg_cash_share,avg_cost_per_unit,dca_wealth_over_invested,dca_sharpe,dca_avg_cost_per_unit,dca_max_drawdown
SP500,1,2,True,2576000.0,490295706.6073167,190.33218424197077,-0.8559337570278043,1296,0.06378582447659897,0.17701742261525572,0.18828813699166616,0.24588048786281724,0.07452191709098224,5152,0,2609.914004751906,0.006747086535163066,41.011312712740235,189.61311993786416,0.18638030347419343,40.622940033891304,-0.8595756363809696
SP500,1,3,False,2576000.0,484247974.50782466,187.98446215365865,-0.8559337570278043,1296,0.06364982792663487,0.1761252216990558,0.18761712007100217,0.2447170496225801,0.0743630303210103,5152,0,2505.043436491054,0.013184545488643071,39.92229460401705,189.61311993786416,0.18638030347419343,40.622940033891304,-0.8595756363809696
SP500,1,3,True,2576000.0,490295706.6073167,190.33218424197077,-0.8559337570278043,1296,0.06378582447659897,0.17701742261525572,0.18828813699166616,0.24588048786281724,0.07452191709098224,5152,0,2609.914004751906,0.006747086535163066,41.011312712740235,189.61311993786416,0.18638030347419343,40.622940033891304,-0.8595756363809696
SP500,2,2,False,2576000.0,480605154.1874951,186.57032383054934,-0.8529736714155404,1293,0.06377664658936055,0.17482387481574632,0.18836648972544828,0.24587588579033107,0.0747697715962568,5152,0,2452.5368264728404,0.020454429268063005,39.430803685519244,189.61311993786416,0.18638030347419343,40.622940033891304,-0.8595756363809696
SP500,2,2,True,2576000.0,489516895.044181,190.02985056062926,-0.8529736714155404,1294,0.06388287479739407,0.1767869141288261,0.18880533590256335,0.2468240654090191,0.07489431026795722,5152,0,2606.6195723698347,0.007339201500188536,41.024712721404555,189.61311993786416,0.18638030347419343,40.622940033891304,-0.8595756363809696
SP500,2,3,False,2576000.0,480521243.250525,186.53774970905474,-0.8529736714155404,1293,0.06377242231080693,0.17485325605980814,0.18834160687060938,0.24583454176203542,0.07476481918248931,5152,0,2453.894191200895,0.020381492010529453,39.45934717272681,189.61311993786416,0.18638030347419343,40.622940033891304,-0.8595756363809696
SP500,2,3,True,2576000.0,489514021.9289456,190.02873522086398,-0.8529736714155404,1294,0.06388265901487644,0.1767913778142699,0.1888038818544702,0.24682111717512956,0.07489405729119503,5152,0,2606.5843798657925,0.00733278890677204,41.02439962899461,189.61311993786416,0.18638030347419343,40.622940033891304,-0.8595756363809696
SP500,3,2,False,2576000.0,478214863.4741322,185.64241594492708,-0.8504507732724188,1285,0.06391188934379866,0.17367816908234707,0.18917439114386272,0.24706836591387407,0.07515060407067937,5152,0,2407.6502209823743,0.026740767667172066,38.94280786172636,189.61311993786416,0.18638030347419343,40.622940033891304,-0.8595756363809696
SP500,3,2,True,2576000.0,489735209.4040794,190.11459992394387,-0.8504507732724188,1288,0.06400022581896758,0.1765342614256648,0.18943892726508127,0.24786948859992033,0.07525447425099448,5152,0,2605.6388954892127,0.007838821456187937,40.99099653936675,189.61311993786416,0.18638030347419343,40.622940033891304,-0.8595756363809696
SP500,3,3,False,2576000.0,477609791.0941619,185.40752759866535,-0.8504598669910958,1285,0.0638701788643159,0.17398464625083188,0.18892349975954117,0.24663205568557492,0.07510075588903081,5152,0,2419.3363062499284,0.026045271143675944,39.17891535972217,189.61311993786416,0.18638030347419343,40.622940033891304,-0.8595756363809696
SP500,3,3,True,2576000.0,489747505.59342957,190.11937328937483,-0.8504598669910958,1288,0.06400054830145407,0.17656600344006707,0.18943911636988597,0.24784724030681377,0.07525404876291965,5152,0,2605.571418806263,0.007779526897201019,40.98890584892219,189.61311993786416,0.18638030347419343,40.622940033891304,-0.8595756363809696
