config_id,asset,ui_window,pctile_lookback,k,min_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg17_uw126_pl252_k1.5_mn0.5,BTC,126,252,1.5,0.5,9.855784100415981,1.067349144759428,9.855679074865842,1.0673092354078406,True,9.84099104653402,1.0652890852650039,9.84088617851966,1.0652491717139174,True
cfg17_uw126_pl252_k1.5_mn0.5,OIL,126,252,1.5,0.5,1.1803323609424807,0.22776350266190593,1.1798550873762443,0.22782375575083372,False,1.178561575294943,0.22622996065200987,1.1780850183556857,0.2262905906561879,False
cfg18_uw126_pl504_k0.5_mn0.25,SP500,126,504,0.5,0.25,85.28311193641063,0.1530894366178989,85.27722344483453,0.1530965091120862,False,85.15505952853226,0.1523299256229718,85.14917987853534,0.15233705290993851,False
cfg18_uw126_pl504_k0.5_mn0.25,GOLD,126,504,0.5,0.25,2.231420856975922,0.5049518064857274,2.2312322553607693,0.5049170813430391,True,2.228071861843838,0.501938549151264,2.227883543414292,0.5019039393179513,True
cfg18_uw126_pl504_k0.5_mn0.25,SILVER,126,504,0.5,0.25,1.686861058290327,0.31968590174790246,1.686659698183187,0.3196772758715409,True,1.6843297205136316,0.31791790149427424,1.6841286627489933,0.31790937005101605,True
cfg18_uw126_pl504_k0.5_mn0.25,BTC,126,504,0.5,0.25,9.855327141413252,1.0673026894034903,9.855679074865842,1.0673092354078406,False,9.840534773495675,1.0652426101167787,9.84088617851966,1.0652491717139174,False
cfg18_uw126_pl504_k0.5_mn0.25,OIL,126,504,0.5,0.25,1.1805496265493918,0.22796225467454498,1.1798550873762443,0.22782375575083372,True,1.178778514677224,0.2264290800294174,1.1780850183556857,0.2262905906561879,True
cfg19_uw126_pl504_k0.5_mn0.5,SP500,126,504,0.5,0.5,85.28311193641063,0.1530894366178989,85.27722344483453,0.1530965091120862,False,85.15505952853226,0.1523299256229718,85.14917987853534,0.15233705290993851,False
cfg19_uw126_pl504_k0.5_mn0.5,GOLD,126,504,0.5,0.5,2.231420856975922,0.5049518064857274,2.2312322553607693,0.5049170813430391,True,2.228071861843838,0.501938549151264,2.227883543414292,0.5019039393179513,True
cfg19_uw126_pl504_k0.5_mn0.5,SILVER,126,504,0.5,0.5,1.686861058290327,0.31968590174790246,1.686659698183187,0.3196772758715409,True,1.6843297205136316,0.31791790149427424,1.6841286627489933,0.31790937005101605,True
