config_id,asset,ac_window,pctile_lookback,k,min_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg04_aw20_pl252_k1.5_mn0.25,BTC,20,252,1.5,0.25,9.84813760387408,1.0671658016051309,9.855679074865842,1.0673092354078406,False,9.833358741751654,1.0651054024060727,9.84088617851966,1.0652491717139174,False
cfg04_aw20_pl252_k1.5_mn0.25,OIL,20,252,1.5,0.25,1.1806384555747762,0.22784889686054255,1.1798550873762443,0.22782375575083372,True,1.1788672103256879,0.22631524551159524,1.1780850183556857,0.2262905906561879,True
cfg05_aw20_pl252_k1.5_mn0.5,SP500,20,252,1.5,0.5,85.2788225950997,0.15305157885970652,85.27722344483453,0.1530965091120862,False,85.15077662767422,0.1522920043197735,85.14917987853534,0.15233705290993851,False
cfg05_aw20_pl252_k1.5_mn0.5,GOLD,20,252,1.5,0.5,2.231262276759985,0.5048816459473571,2.2312322553607693,0.5049170813430391,False,2.2279135197363393,0.5018682462453705,2.227883543414292,0.5019039393179513,False
cfg05_aw20_pl252_k1.5_mn0.5,SILVER,20,252,1.5,0.5,1.6868436001440357,0.3196693406215562,1.686659698183187,0.3196772758715409,False,1.6843122886247253,0.3179012778202929,1.6841286627489933,0.31790937005101605,False
cfg05_aw20_pl252_k1.5_mn0.5,BTC,20,252,1.5,0.5,9.852864896151798,1.067249005609,9.855679074865842,1.0673092354078406,False,9.838076225459417,1.065188760189994,9.84088617851966,1.0652491717139174,False
cfg05_aw20_pl252_k1.5_mn0.5,OIL,20,252,1.5,0.5,1.1802864636778805,0.22784605021169507,1.1798550873762443,0.22782375575083372,True,1.178515746945156,0.22631266289418786,1.1780850183556857,0.2262905906561879,True
cfg06_aw20_pl504_k0.5_mn0.25,SP500,20,504,0.5,0.25,85.27975662675571,0.15307407135059928,85.27722344483453,0.1530965091120862,False,85.15170925688058,0.15231454611619225,85.14917987853534,0.15233705290993851,False
cfg06_aw20_pl504_k0.5_mn0.25,GOLD,20,504,0.5,0.25,2.2312394123481805,0.5049031948756012,2.2312322553607693,0.5049170813430391,False,2.2278906896554775,0.5018899328015493,2.227883543414292,0.5019039393179513,False
cfg06_aw20_pl504_k0.5_mn0.25,SILVER,20,504,0.5,0.25,1.6867092425670123,0.31966921971182816,1.686659698183187,0.3196772758715409,False,1.6841781327418481,0.3179012398791167,1.6841286627489933,0.31790937005101605,False
cfg06_aw20_pl504_k0.5_mn0.25,BTC,20,504,0.5,0.25,9.855800909547503,1.067321180664629,9.855679074865842,1.0673092354078406,True,9.841007830266356,1.0652610952112735,9.84088617851966,1.0652491717139174,True
cfg06_aw20_pl504_k0.5_mn0.25,OIL,20,504,0.5,0.25,1.1803271025681255,0.22791504609985144,1.1798550873762443,0.22782375575083372,True,1.178556324816047,0.22638185884671086,1.1780850183556857,0.2262905906561879,True
cfg07_aw20_pl504_k0.5_mn0.5,SP500,20,504,0.5,0.5,85.27975662675571,0.15307407135059928,85.27722344483453,0.1530965091120862,False,85.15170925688058,0.15231454611619225,85.14917987853534,0.15233705290993851,False
cfg07_aw20_pl504_k0.5_mn0.5,GOLD,20,504,0.5,0.5,2.2312394123481805,0.5049031948756012,2.2312322553607693,0.5049170813430391,False,2.2278906896554775,0.5018899328015493,2.227883543414292,0.5019039393179513,False
cfg07_aw20_pl504_k0.5_mn0.5,SILVER,20,504,0.5,0.5,1.6867092425670123,0.31966921971182816,1.686659698183187,0.3196772758715409,False,1.6841781327418481,0.3179012398791167,1.6841286627489933,0.31790937005101605,False
cfg07_aw20_pl504_k0.5_mn0.5,BTC,20,504,0.5,0.5,9.855800909547503,1.067321180664629,9.855679074865842,1.0673092354078406,True,9.841007830266356,1.0652610952112735,9.84088617851966,1.0652491717139174,True
cfg07_aw20_pl504_k0.5_mn0.5,OIL,20,504,0.5,0.5,1.1803271025681255,0.22791504609985144,1.1798550873762443,0.22782375575083372,True,1.178556324816047,0.22638185884671086,1.1780850183556857,0.2262905906561879,True
cfg08_aw20_pl504_k1.0_mn0.25,SP500,20,504,1.0,0.25,85.28520353827709,0.1530631200971414,85.27722344483453,0.1530965091120862,False,85.15714798985591,0.15230352584486748,85.14917987853534,0.15233705290993851,False
cfg08_aw20_pl504_k1.0_mn0.25,GOLD,20,504,1.0,0.25,2.2313331328759367,0.504953444230533,2.2312322553607693,0.5049170813430391,True,2.227984269461725,0.5019399868320465,2.227883543414292,0.5019039393179513,True
cfg08_aw20_pl504_k1.0_mn0.25,SILVER,20,504,1.0,0.25,1.6865734361569893,0.31962645901019116,1.686659698183187,0.3196772758715409,False,1.684042530245356,0.3178583393276382,1.6841286627489933,0.31790937005101605,False
cfg08_aw20_pl504_k1.0_mn0.25,BTC,20,504,1.0,0.25,9.856498354854072,1.0673555183345016,9.855679074865842,1.0673092354078406,True,9.841706594846624,1.0652954740510996,9.84088617851966,1.0652491717139174,True
cfg08_aw20_pl504_k1.0_mn0.25,OIL,20,504,1.0,0.25,1.1808274432205956,0.2280464995005472,1.1798550873762443,0.22782375575083372,True,1.1790559142062766,0.22651329795343766,1.1780850183556857,0.2262905906561879,True
cfg09_aw20_pl504_k1.0_mn0.5,SP500,20,504,1.0,0.5,85.27932134642637,0.15306661536328542,85.27722344483453,0.1530965091120862,False,85.15127463012506,0.15230706915127853,85.14917987853534,0.15233705290993851,False
cfg09_aw20_pl504_k1.0_mn0.5,GOLD,20,504,1.0,0.5,2.2312344699988547,0.5049040360375978,2.2312322553607693,0.5049170813430391,False,2.227885754727102,0.5018907341990563,2.227883543414292,0.5019039393179513,False
cfg09_aw20_pl504_k1.0_mn0.5,SILVER,20,504,1.0,0.5,1.6868358638627499,0.31968698741833734,1.686659698183187,0.3196772758715409,True,1.6843045639155214,0.3179189868472111,1.6841286627489933,0.31790937005101605,True
cfg09_aw20_pl504_k1.0_mn0.5,BTC,20,504,1.0,0.5,9.855765691656028,1.067323267239137,9.855679074865842,1.0673092354078406,True,9.840972665414851,1.0652631719183752,9.84088617851966,1.0652491717139174,True
cfg09_aw20_pl504_k1.0_mn0.5,OIL,20,504,1.0,0.5,1.1804565059751067,0.22793966873514018,1.1798550873762443,0.22782375575083372,True,1.1786855339236166,0.22640646839285378,1.1780850183556857,0.2262905906561879,True
cfg10_aw20_pl504_k1.5_mn0.25,SP500,20,504,1.5,0.25,85.27799506979788,0.15305106252586684,85.27722344483453,0.1530965091120862,False,85.14995034490273,0.1522914289118496,85.14917987853534,0.15233705290993851,False
cfg10_aw20_pl504_k1.5_mn0.25,GOLD,20,504,1.5,0.25,2.2311707538214463,0.504919447247114,2.2312322553607693,0.5049170813430391,False,2.227822134219628,0.5019058989205659,2.227883543414292,0.5019039393179513,False
cfg10_aw20_pl504_k1.5_mn0.25,SILVER,20,504,1.5,0.25,1.6866252181828545,0.3196412752867634,1.686659698183187,0.3196772758715409,False,1.6840942345204224,0.31787311809346513,1.6841286627489933,0.31790937005101605,False
