config_id,asset,pctile_window_years,low_pctile,high_pctile,max_mult,min_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025,beats_dca_both_fees
cfg20_wy20_lo20_hi80_mx1.5_mn0.3,SP500,20,20,80,1.5,0.3,85.24351464446276,0.1545079641357032,85.27722344483453,0.15456792630709126,False,85.11578879031036,0.1537468495229639,85.14917987853534,0.1538084669523658,False,False
cfg21_wy20_lo20_hi80_mx1.5_mn0.5,SP500,20,20,80,1.5,0.5,85.13326535814565,0.15444049546726524,85.27722344483453,0.15456792630709126,False,85.0055927927484,0.15368013948038628,85.14917987853534,0.1538084669523658,False,False
cfg22_wy20_lo20_hi80_mx2.0_mn0.3,SP500,20,20,80,2.0,0.3,85.12848070445905,0.15443296865863104,85.27722344483453,0.15456792630709126,False,85.0008039272417,0.15367241243003638,85.14917987853534,0.1538084669523658,False,False
cfg23_wy20_lo20_hi80_mx2.0_mn0.5,SP500,20,20,80,2.0,0.5,85.21021080617466,0.1545027414886148,85.27722344483453,0.15456792630709126,False,85.08230290120535,0.15374259503732815,85.14917987853534,0.1538084669523658,False,False
cfg24_wy20_lo30_hi70_mx1.5_mn0.3,SP500,20,30,70,1.5,0.3,85.20519668992534,0.154477298369653,85.27722344483453,0.15456792630709126,False,85.07754817715609,0.15371608021810937,85.14917987853534,0.1538084669523658,False,False
cfg25_wy20_lo30_hi70_mx1.5_mn0.5,SP500,20,30,70,1.5,0.5,85.10158591484705,0.1544147903717713,85.27722344483453,0.15456792630709126,False,84.97397750299919,0.15365434255753693,85.14917987853534,0.1538084669523658,False,False
cfg26_wy20_lo30_hi70_mx2.0_mn0.3,SP500,20,30,70,2.0,0.3,85.06779074156907,0.15438427080864545,85.27722344483453,0.15456792630709126,False,84.94023231181845,0.15362356819337186,85.14917987853534,0.1538084669523658,False,False
cfg27_wy20_lo30_hi70_mx2.0_mn0.5,SP500,20,30,70,2.0,0.5,85.16781987688266,0.15446859765146975,85.27722344483453,0.15456792630709126,False,85.03999892965366,0.15370832888923625,85.14917987853534,0.1538084669523658,False,False
cfg28_wy20_lo30_hi80_mx1.5_mn0.3,SP500,20,30,80,1.5,0.3,85.18523564316877,0.1544694235242906,85.27722344483453,0.15456792630709126,False,85.05756196590822,0.15370855405057507,85.14917987853534,0.1538084669523658,False,False
cfg29_wy20_lo30_hi80_mx1.5_mn0.5,SP500,20,30,80,1.5,0.5,85.12668141395392,0.15443723288850159,85.27722344483453,0.15456792630709126,False,84.99899055263607,0.1536769593228949,85.14917987853534,0.1538084669523658,False,False
cfg30_wy20_lo30_hi80_mx2.0_mn0.3,SP500,20,30,80,2.0,0.3,85.13891093117742,0.15444275734061574,85.27722344483453,0.15456792630709126,False,85.01117354800387,0.15368229711421078,85.14917987853534,0.1538084669523658,False,False
cfg31_wy20_lo30_hi80_mx2.0_mn0.5,SP500,20,30,80,2.0,0.5,85.18417871331879,0.15448348766988204,85.27722344483453,0.15456792630709126,False,85.05627500934162,0.153723405723412,85.14917987853534,0.1538084669523658,False,False
