config_id,asset,illiq_lookback,elevated_pct,decay_days,buy_multiplier,calm_fraction,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg12_lb126_ep95_dd10_bm1.5_cf0.85,OIL,126,95.0,10,1.5,0.85,1.1779550103968734,0.22841418181097753,1.1798550873762443,0.22782375575083372,False,1.1761886859137298,0.22693096694259607,1.1780850183556857,0.2262905906561879,False
cfg13_lb126_ep95_dd10_bm1.5_cf0.95,SP500,126,95.0,10,1.5,0.95,84.45946407099895,0.157045826283158,85.27722344483453,0.1530965091120862,False,84.3326485282204,0.15630469778974715,85.14917987853534,0.15233705290993851,False
cfg13_lb126_ep95_dd10_bm1.5_cf0.95,GOLD,126,95.0,10,1.5,0.95,2.230621809873792,0.5057929830802153,2.2312322553607693,0.5049170813430391,False,2.2272749080098344,0.5028421183986108,2.227883543414292,0.5019039393179513,False
cfg13_lb126_ep95_dd10_bm1.5_cf0.95,SILVER,126,95.0,10,1.5,0.95,1.6859389876347295,0.31998269938397544,1.686659698183187,0.3196772758715409,False,1.6834090343485049,0.3182403694049695,1.6841286627489933,0.31790937005101605,False
cfg13_lb126_ep95_dd10_bm1.5_cf0.95,BTC,126,95.0,10,1.5,0.95,9.805828427438989,1.0678593994234424,9.855679074865842,1.0673092354078406,False,9.791110652976116,1.065826706176596,9.84088617851966,1.0652491717139174,False
cfg13_lb126_ep95_dd10_bm1.5_cf0.95,OIL,126,95.0,10,1.5,0.95,1.1793832653122842,0.22794057165133083,1.1798550873762443,0.22782375575083372,False,1.177614201922923,0.22642337152464634,1.1780850183556857,0.2262905906561879,False
cfg14_lb126_ep95_dd10_bm2.0_cf0.85,SP500,126,95.0,10,2.0,0.85,81.95674573413886,0.1639073274757854,85.27722344483453,0.1530965091120862,False,81.83396227744493,0.16320211413672212,85.14917987853534,0.15233705290993851,False
cfg14_lb126_ep95_dd10_bm2.0_cf0.85,GOLD,126,95.0,10,2.0,0.85,2.2290724390148293,0.5077905788011953,2.2312322553607693,0.5049170813430391,False,2.225729650528945,0.5049692895202252,2.227883543414292,0.5019039393179513,False
cfg14_lb126_ep95_dd10_bm2.0_cf0.85,SILVER,126,95.0,10,2.0,0.85,1.6841398888734886,0.320509673820907,1.686659698183187,0.3196772758715409,False,1.681612636936757,0.31881925315161636,1.6841286627489933,0.31790937005101605,False
cfg14_lb126_ep95_dd10_bm2.0_cf0.85,BTC,126,95.0,10,2.0,0.85,9.584623758391785,1.0646854778730725,9.855679074865842,1.0673092354078406,False,9.570247703552495,1.0627065248250285,9.84088617851966,1.0652491717139174,False
cfg14_lb126_ep95_dd10_bm2.0_cf0.85,OIL,126,95.0,10,2.0,0.85,1.1783581869515871,0.22812465116545508,1.1798550873762443,0.22782375575083372,False,1.1765912570982415,0.22663978672945187,1.1780850183556857,0.2262905906561879,False
cfg15_lb126_ep95_dd10_bm2.0_cf0.95,SP500,126,95.0,10,2.0,0.95,85.13229532447222,0.15766981266682653,85.27722344483453,0.1530965091120862,False,85.00446952455637,0.15692921579792568,85.14917987853534,0.15233705290993851,False
cfg15_lb126_ep95_dd10_bm2.0_cf0.95,GOLD,126,95.0,10,2.0,0.95,2.2307296624791793,0.5058158380754466,2.2312322553607693,0.5049170813430391,False,2.2273825986743736,0.5028643700391482,2.227883543414292,0.5019039393179513,False
cfg15_lb126_ep95_dd10_bm2.0_cf0.95,SILVER,126,95.0,10,2.0,0.95,1.6859207439182222,0.3199373465215939,1.686659698183187,0.3196772758715409,False,1.683390818024965,0.31819475249443335,1.6841286627489933,0.31790937005101605,False
cfg15_lb126_ep95_dd10_bm2.0_cf0.95,BTC,126,95.0,10,2.0,0.95,9.818798067254153,1.068364687584543,9.855679074865842,1.0673092354078406,False,9.80406081885763,1.0663316096610789,9.84088617851966,1.0652491717139174,False
cfg15_lb126_ep95_dd10_bm2.0_cf0.95,OIL,126,95.0,10,2.0,0.95,1.1792882324343992,0.22792734567892606,1.1798550873762443,0.22782375575083372,False,1.1775193117370466,0.22641012280583062,1.1780850183556857,0.2262905906561879,False
cfg16_lb252_ep90_dd5_bm1.5_cf0.85,SP500,252,90.0,5,1.5,0.85,78.47050055998079,0.16092125920498515,85.27722344483453,0.1530965091120862,False,78.35444808926358,0.16020140931208154,85.14917987853534,0.15233705290993851,False
cfg16_lb252_ep90_dd5_bm1.5_cf0.85,GOLD,252,90.0,5,1.5,0.85,2.2262202805602906,0.5069137246353029,2.2312322553607693,0.5049170813430391,False,2.2228820116421204,0.5040971049226484,2.227883543414292,0.5019039393179513,False
cfg16_lb252_ep90_dd5_bm1.5_cf0.85,SILVER,252,90.0,5,1.5,0.85,1.6824251812374094,0.3206641990491631,1.686659698183187,0.3196772758715409,False,1.6799005039367676,0.3189891968236227,1.6841286627489933,0.31790937005101605,False
cfg16_lb252_ep90_dd5_bm1.5_cf0.85,BTC,252,90.0,5,1.5,0.85,9.001049064688539,1.0499435091392617,9.855679074865842,1.0673092354078406,False,8.987670181433492,1.0479531086416702,9.84088617851966,1.0652491717139174,False
cfg16_lb252_ep90_dd5_bm1.5_cf0.85,OIL,252,90.0,5,1.5,0.85,1.1820275347362703,0.2281412360431021,1.1798550873762443,0.22782375575083372,True,1.1802544265839174,0.22664875999612868,1.1780850183556857,0.2262905906561879,True
cfg17_lb252_ep90_dd5_bm1.5_cf0.95,SP500,252,90.0,5,1.5,0.95,84.44656406566772,0.15702624723156,85.27722344483453,0.1530965091120862,False,84.3197679079516,0.15628498683619066,85.14917987853534,0.15233705290993851,False
